company_name,filing_date,Risk Factors,cleaned_text
BIO VASCULAR INC,1999-01-29,"The following factors are important and should be considered carefully in connection with any evaluation of the Company's business, financial condition, results of operations and prospects. Additionally, the following factors could cause the Company's actual results to materially differ from those reflected in any forward-looking statements                                          13    of the Company.  Risks Associated with the Acquisition of Jer-Neen  Following the recent acquisition of Jer-Neen, the separate businesses and operations of Bio-Vascular and Jer-Neen have been continued largely intact, with each continuing to separately manufacture their branded and component products, respectively, and serve their respective customers and markets, with Jer-Neen operating as a wholly owned subsidiary of Bio-Vascular. In making this acquisition, the Company did not contemplate significant integration of the separate businesses, operations or systems, nor did the acquisition seek specific operating efficiencies or synergies as a result of the combination of the two companies. The success of the combined organization will be dependent upon the ability of each of these separate businesses to accomplish their respective strategic growth and profitability objectives.  In connection with the acquisition of Jer-Neen, the Company recorded intangibles, including goodwill, of approximately $6,600,000. The Company will amortize these intangibles over lives of up to 15 years, and therefore the related amortization will reduce the Company's pre-tax operating income.  Limitations on Third-Party Reimbursement  The Company's branded products are purchased primarily by hospitals and other end-users, and its unbranded component products are sold directly to medical device manufacturers who distribute finished medical products to hospitals and other end-users. Hospitals and end-users of such products, in turn, bill various third-party payers, including government health programs, private health insurance plans, managed care organizations and other similar programs, for the health care goods and services provided to their patients. Third-party payers may deny reimbursement if they determine that a product used in a procedure was not used in accordance with established third-party payer protocol regarding treatment methods or was used for an unapproved indication.  Third-party payers are also increasingly challenging the prices charged for medical products and services and, in some instances, have put pressure on medical device suppliers to lower their prices. The Company is unable to predict what changes will be made in the reimbursement methods used by third-party payers. There can be no assurance that procedures in which the Company's products are directly or indirectly used will continue to be considered cost-effective by third-party payers, that reimbursement for such procedures will be available or, if available will continue, or that third-party payers' reimbursement levels will not adversely affect the Company's ability to sell its products on a profitable basis. The costs of health care have risen significantly over the past decade, and there have been, and may continue to be, proposals by legislators, regulators and third-party payers to curb these costs. Failure by hospitals and other end-users of the Company's products to obtain reimbursement from third-party payers, changes in third-party payers' policies towards reimbursement for procedures directly or indirectly using the Company's products, or legislative action could have a material adverse effect on the Company's business, financial condition and results of operations.  As discussed above, in January 1996, HCFA made a national policy decision not to reimburse LVRS, which had been a primary use for the Company's Peri-Strips product prior to the decision. The Company understands that many private payers, insurance companies and managed care organizations are continuing to reimburse LVRS based on their own evaluation of the procedure and its outcomes. The Company estimates that 80% of its domestic revenues from the sale of Peri-Strips result from the use of Peri-Strips in LVRS. It is unknown whether these private payers will change their reimbursement practices in the future. If these private payers change their reimbursement practices, it could have a material, adverse impact on the Company's business, financial condition and results of operations.  Highly Competitive Industries and Risk of Technological Obsolescence  The Company faces intense competition. The medical products industry is highly competitive and characterized by rapid innovation and technological change. The Company expects technology to continue to develop rapidly, and the Company's success will depend, to a large extent, on its ability to maintain a competitive position with its technology. Additionally, the success of the Company's component business will depend on the ability of its customers to maintain a competitive position with their technology. There can be no assurance that the Company will be able to compete effectively in the marketplace or that products developed by its competitors, or developed by competitors of its component business customers, will not render the Company's products obsolete or non-                                         14    competitive. Similarly, there can be no assurance that these competitors will not succeed in developing or marketing products that are viewed by physicians as providing superior clinical performance or are less expensive relative to the products currently marketed or to be developed by the Company or its component business customers.  Several established companies manufacture and sell products which compete with all of the Company's products. Some of the companies with which the Company competes have greater distribution capabilities, substantially greater capital resources and larger marketing, research and development staffs and facilities than the Company. In addition, many of the Company's competitors offer broader product lines within the Company's specific product markets. Broad product lines may give the Company's competitors the ability to negotiate exclusive, long-term medical product or component supply contracts and the ability to offer comprehensive pricing for their products, including those that compete with the Company's products. Competitors who offer broad product lines may also have a significant advantage in competing with the Company's branded products for sales to group purchasing organizations and managed care organizations that increasingly seek to reduce costs. There can be no assurance that the Company will be able to compete effectively with such manufacturers.  Risks Associated with Intellectual Property  The Company protects its technology through trade secrets, proprietary know-how and patents, both owned and licensed. The Company seeks to protect its trade secrets and proprietary know-how through confidentiality agreements with employees, consultants and other parties. Supple Peri-Guard, which is used in the manufacture of the majority of the Company's Tissue-Guard products, is protected exclusively by trade secrets (although Peri-Guard is protected by patent). There can be no assurance that the Company's trade secrets or confidentiality agreements will provide meaningful protection of the Company's proprietary information or, in the event of a breach of any confidentiality agreement, that the Company will have adequate remedies. Additionally, there can be no assurance that any pending or future patent applications will result in issued patents, or that any current or future patent, regardless of whether the Company is an owner or licensee of such patent, will not be challenged, invalidated or circumvented or that the rights granted thereunder or under its licensing agreements will provide a competitive advantage to the Company. Furthermore, there can be no assurance that others will not independently develop similar technologies or duplicate any technology developed by the Company or that the Company's technology does not, or will not, infringe patents or other rights owned by others.  The medical product industry is characterized by frequent and substantial intellectual property litigation, and competitors may resort to intellectual property litigation as a means of competition. Intellectual property litigation is complex and expensive, and the outcome of such litigation is difficult to predict. Any future litigation, regardless of the outcome, could result in substantial expense to the Company and significant diversion of the efforts of the Company's technical and management personnel. Litigation may also be necessary to enforce patents issued to the Company and license agreements entered into by the Company, to protect trade secrets or know-how owned by the Company or to determine the enforcement, scope and validity of the proprietary rights of others. An adverse determination in any such proceeding could subject the Company to significant liabilities to third parties, or require the Company to seek licenses from third parties or pay royalties that may be substantial. Furthermore, there can be no assurance that necessary licenses would be available to the Company on satisfactory terms, if at all. Accordingly, an adverse determination in a judicial or administrative proceeding or failure to obtain necessary licenses could prevent the Company from manufacturing or selling certain of its products which, in turn, would have a material adverse effect on the Company's business, financial condition and results of operations.  Risks Associated with Human Tissue Products  Both the United States and Europe have recently focused attention on the safety of tissue banks, spurred by incidents of the transmission of human disease during tissue transplantation. In the United States, regulations drafted by the FDA have outlined requirements for tissue banks. Although the current regulations have specifically excluded from regulation medical devices subject to FDA review, including preserved umbilical cord vein grafts such as Biograft, proposed rules indicate that medical devices containing human tissue products may be subject to additional controls. As a result, Biograft may be subject to additional regulations in the United States and the related expensive donor screening and donor testing procedures. However, it is uncertain when the FDA impose these additional regulatory requirements on Biograft or that Biograft would be able to meet any such new requirements.                                         15    The long-term future regulatory environment for Biograft in Europe is uncertain. The MDD issued by the EU explicitly excludes medical devices from human tissue; however, there is an effort developing to include such devices under a comprehensive regulatory program. This effort is in the early stages; the Company understands that a consensus on such a directive could take several years. In addition, if extensive donor screening and donor testing requirements are imposed, such requirements could make it uneconomical to sell Biograft in Europe even under a regulatory program. Biograft accounted for 7% and 8% of the Company's net revenue for the years ended October 31, 1998 and 1997, respectively.  Risks Associated with Bovine Tissue Products  Bovine Spongiform Encephalopathy (""BSE"") has been endemic in cattle in the United Kingdom and has received much publicity in Europe regarding beef for dietary consumption. Under the direction of the USDA, the U.S. government has had an active program of surveillance and import controls since the late 1980's, designed to prevent the introduction of BSE into U.S. cattle. To date all evidence indicates that U.S. cattle are free of BSE. The Company obtains all of its raw pericardium for its Tissue-Guard products from USDA-inspected slaughterhouses. The Company cannot predict whether or not a case of BSE may someday be reported in the United States. If a case of BSE were reported in U.S. cattle, it could have a material adverse effect on the Company's business, financial condition and results of operations. The Company's notified body under the MDD, the BSI, and French authorities have specifically reviewed Tissue-Guard sourcing and manufacturing processes and have then certified the Company's bovine pericardium products. Although the Company does not anticipate that countries will prohibit the sale of Tissue-Guard products as a result of concerns related to BSE, such prohibition by certain countries could have a material adverse effect on the Company's business, financial condition and results of operation.  Governmental Regulation  The medical device industry in which the Company's branded products segment and the customers of the Company's component product segment operate is subject to extensive and rigorous regulation by the FDA and by comparable agencies in foreign countries. In the United States, the FDA regulates the introduction, manufacturing, labeling and record keeping procedures for medical devices, including the Company's branded products and medical devices incorporating the Company's component products. The process of obtaining marketing clearance from the FDA for new products and new applications for existing products can be time-consuming and expensive, and there is no assurance that such clearances will be granted or that FDA review will not involve delays that would adversely affect the Company's ability to commercialize additional products or additional applications for existing products. In addition, certain of the Company's branded products and devices incorporating component products that are in the research and development stage may be subject to a lengthy and expensive PMA process with the FDA. Even if regulatory approvals to market a product are obtained from the FDA, these approvals may entail limitations on the indicated uses of the product. Product approvals by the FDA can also be withdrawn due to failure to comply with regulatory standards or the occurrence of unforeseen problems following initial approval. The FDA could also limit or prevent the manufacture or distribution of the Company's branded products or medical devices incorporating the Company's component products, and has the power to require the recall of such products, if indicated. If enacted, proposed regulations currently under consideration by the FDA could also adversely impact the use and marketing of certain of the Company's branded products. FDA regulations depend heavily on administrative interpretation, and there can be no assurance that future interpretations made by the FDA or other regulatory bodies, with possible retroactive effect, will not adversely affect the Company.  The FDA and various state and foreign regulatory agencies inspect the Company and its manufacturing facilities for branded products from time to time to determine whether the Company is in compliance with regulations relating to manufacturing practices, validation, testing, quality control and product labeling. A determination that the Company is in violation of such regulations could lead to imposition of civil penalties, including fines, product recalls or product seizures and, in extreme cases, criminal sanctions, depending on the nature of the violation.  International regulatory bodies have established varying regulations governing product standards, packaging and labeling requirements, import restrictions, tariff regulations, duties and tax requirements. In Japan, a potentially significant market for the Company's branded products, clinical trials of certain of the Company's branded products are required before such products can be cleared for sale in the Japanese market. The Company relies on independent distributors to comply with such foreign regulatory requirements. As a result, communication between foreign regulatory agencies and the Company is indirect as it occurs through the foreign distributor. The inability or failure of independent distributors to comply with the varying regulations or the imposition of new regulations                                          16    could restrict such distributors' ability to sell the Company's branded products internationally and thereby adversely affect the Company's business, financial condition and results of operations.  The registration process in the EU for the Company's branded products requires that the Company's quality system conform with the ISO 9001 international quality standard and that its branded products conform with ""essential requirements"" set forth by the MDD. Compliance with these requirements will allow the Company to issue a ""Declaration of Conformity"" and apply the CE mark to branded products, allowing free sale in the EU. While the Company has obtained the ""CE"" mark for all of its current branded products (except for Biograft, which is exempt), there can be no assurance that the Company will be able to maintain compliance with the regulations to retain the CE mark. In addition, there can be no assurance that the Company will be successful in obtaining the CE mark for new product introductions. Devices incorporating the Company's component products are also subject to these requirements, and there can be no assurance that the Company's component business customers will be successful in obtaining or maintaining compliance with the EU regulatory process for their current or future products.  Exposure to Product Liability Claims; Risk of Product Recall  The medical product industry historically has been litigious, and the manufacture and sale of the Company's products inherently entails a risk of product liability claims. In particular, the Company's principal branded and a significant portion of its component products are designed to be permanently placed in the human body, and production or other errors could result in an unsafe product and injury to the patient. The Company maintains product liability insurance coverage on a claims-made basis with an annual aggregate limit of $7 million, subject to an annual aggregate self-insured retention of $250,000. Although the Company believes these amounts to be adequate based upon the nature and risks of its business in general and its actual experience to date, there can be no assurance that one or more liability claims will not exceed the coverage limits of such policies or that such insurance will continue to be available on commercially reasonable terms, if at all. Furthermore, the Company does not expect to be able to obtain insurance covering its costs and losses as the result of any recall of its products due to alleged defects, whether such a recall is instituted by the Company or required by a regulatory agency. A product liability claim, recall or other claim with respect to uninsured liabilities or in excess of insured liabilities could have a material adverse effect on the business, financial condition and results of operations of the Company.  Dependence on Domestic and International Distributors and Sales Representatives  Sales to both domestic and international distributors and sales representatives constitute a significant portion of the Company's current business related to its branded products. For the years ended October 31, 1998 and 1997, three domestic distributors accounted for an aggregate of 39% and 44%, respectively, of net revenue, with each of such distributors accounting for in excess of 10% of the Company's net revenue for those periods. The Company also relies on sales representative organizations for certain of its domestic branded product business and relies on a number of distributors for all of its international branded product business. There can be no assurance that the Company will be able to maintain its relationships with any of its distributors or sales representatives, or, in the event of termination of any of such relationships, that a new replacement distributor or sales representative will be found. The loss of a significant distributor or a significant number of other distributors or sales representatives could materially adversely affect the Company's business, financial condition and results of operations if another suitable sales organization could not be found on a timely basis to serve the relevant geographic market.  Year 2000 Compliance  The Company and third parties with which the Company does business are significantly dependent upon information systems and other systems which may be susceptible to the so-called Year 2000 problem. The Company has initiated comprehensive internal Year 2000 identification and remediation efforts, although there can be no assurance that the Company will be able to fully identify and address all of its internal Year 2000 issues as a result of these efforts. As a part of its Year 2000 initiatives, the Company intends to request information from its business partners as to their Year 2000 compliance in order to assess and mitigate the Company's risks. There can be no assurance, however, that Year 2000 issues encountered by such parties will not have a material, adverse effect on the Company's business, financial condition and results of operations.                                         17    Euro Conversion  On January 1, 1999, eleven of the fifteen member countries of the EU are scheduled to establish fixed conversion rates between their existing sovereign currencies and the euro, and to adopt the euro as their common legal currency on that date. The Company currently denominates all of its foreign transactions in U.S. dollars, and therefore is not presently faced with the task of converting its information systems and practices to accommodate euro conversion. Euro conversion is, however, expected to generally increase cross-border price transparency among the participating countries and result in a more competitive European market. The Company is uncertain as to the effect, if any, that euro conversion will have on its ability to sell its products in the European market. Euro conversion could potentially impact pricing strategies and demand for the Company's products in the European market, lead to increased competition within the European market for the specific types of products manufactured and sold by the Company, or impact the Company's international distributor relationships. The Company could also potentially be required to denominate future transactions in the euro and incur currency risk and conversion start-up costs as a result. There can be no assurance that euro conversion will not have a material, adverse effect on the Company's business, financial condition and results of operation.  Dependence on Significant Customer  Sales to one customer of the Company's component products business accounted for approximately 45% of the business segment's revenue for the twelve-month period ended October 31, 1998. There can be no assurance that the Company will be able to maintain its relationship with this significant customer, or in the event of termination of the relationship, that the Company will be able to replace production levels with new or existing customers. The loss of the significant customer could materially adversely affect the Company's business, financial condition and results of operations.",the following factors are important and should be considered carefully in connection with any evaluation of the company s business financial condition results of operations and prospects additionally the following factors could cause the company s actual results to materially differ from those reflected in any forward looking statements of the company risks associated with the acquisition of jer neen following the recent acquisition of jer neen the separate businesses and operations of bio vascular and jer neen have been continued largely intact with each continuing to separately manufacture their branded and component products respectively and serve their respective customers and markets with jer neen operating as a wholly owned subsidiary of bio vascular in making this acquisition the company did not contemplate significant integration of the separate businesses operations or systems nor did the acquisition seek specific operating efficiencies or synergies as a result of the combination of the two companies the success of the combined organization will be dependent upon the ability of each of these separate businesses to accomplish their respective strategic growth and profitability objectives in connection with the acquisition of jer neen the company recorded intangibles including goodwill of approximately the company will amortize these intangibles over lives of up to years and therefore the related amortization will reduce the company s pre tax operating income limitations on third party reimbursement the company s branded products are purchased primarily by hospitals and other end users and its unbranded component products are sold directly to medical device manufacturers who distribute finished medical products to hospitals and other end users hospitals and end users of such products in turn bill various third party payers including government health programs private health insurance plans managed care organizations and other similar programs for the health care goods and services provided to their patients third party payers may deny reimbursement if they determine that a product used in a procedure was not used in accordance with established third party payer protocol regarding treatment methods or was used for an unapproved indication third party payers are also increasingly challenging the prices charged for medical products and services and in some instances have put pressure on medical device suppliers to lower their prices the company is unable to predict what changes will be made in the reimbursement methods used by third party payers there can be no assurance that procedures in which the company s products are directly or indirectly used will continue to be considered cost effective by third party payers that reimbursement for such procedures will be available or if available will continue or that third party payers reimbursement levels will not adversely affect the company s ability to sell its products on a profitable basis the costs of health care have risen significantly over the past decade and there have been and may continue to be proposals by legislators regulators and third party payers to curb these costs failure by hospitals and other end users of the company s products to obtain reimbursement from third party payers changes in third party payers policies towards reimbursement for procedures directly or indirectly using the company s products or legislative action could have a material adverse effect on the company s business financial condition and results of operations as discussed above in january hcfa made a national policy decision not to reimburse lvrs which had been a primary use for the company s peri strips product prior to the decision the company understands that many private payers insurance companies and managed care organizations are continuing to reimburse lvrs based on their own evaluation of the procedure and its outcomes the company estimates that of its domestic revenues from the sale of peri strips result from the use of peri strips in lvrs it is unknown whether these private payers will change their reimbursement practices in the future if these private payers change their reimbursement practices it could have a material adverse impact on the company s business financial condition and results of operations highly competitive industries and risk of technological obsolescence the company faces intense competition the medical products industry is highly competitive and characterized by rapid innovation and technological change the company expects technology to continue to develop rapidly and the company s success will depend to a large extent on its ability to maintain a competitive position with its technology additionally the success of the company s component business will depend on the ability of its customers to maintain a competitive position with their technology there can be no assurance that the company will be able to compete effectively in the marketplace or that products developed by its competitors or developed by competitors of its component business customers will not render the company s products obsolete or non competitive similarly there can be no assurance that these competitors will not succeed in developing or marketing products that are viewed by physicians as providing superior clinical performance or are less expensive relative to the products currently marketed or to be developed by the company or its component business customers several established companies manufacture and sell products which compete with all of the company s products some of the companies with which the company competes have greater distribution capabilities substantially greater capital resources and larger marketing research and development staffs and facilities than the company in addition many of the company s competitors offer broader product lines within the company s specific product markets broad product lines may give the company s competitors the ability to negotiate exclusive long term medical product or component supply contracts and the ability to offer comprehensive pricing for their products including those that compete with the company s products competitors who offer broad product lines may also have a significant advantage in competing with the company s branded products for sales to group purchasing organizations and managed care organizations that increasingly seek to reduce costs there can be no assurance that the company will be able to compete effectively with such manufacturers risks associated with intellectual property the company protects its technology through trade secrets proprietary know how and patents both owned and licensed the company seeks to protect its trade secrets and proprietary know how through confidentiality agreements with employees consultants and other parties supple peri guard which is used in the manufacture of the majority of the company s tissue guard products is protected exclusively by trade secrets although peri guard is protected by patent there can be no assurance that the company s trade secrets or confidentiality agreements will provide meaningful protection of the company s proprietary information or in the event of a breach of any confidentiality agreement that the company will have adequate remedies additionally there can be no assurance that any pending or future patent applications will result in issued patents or that any current or future patent regardless of whether the company is an owner or licensee of such patent will not be challenged invalidated or circumvented or that the rights granted thereunder or under its licensing agreements will provide a competitive advantage to the company furthermore there can be no assurance that others will not independently develop similar technologies or duplicate any technology developed by the company or that the company s technology does not or will not infringe patents or other rights owned by others the medical product industry is characterized by frequent and substantial intellectual property litigation and competitors may resort to intellectual property litigation as a means of competition intellectual property litigation is complex and expensive and the outcome of such litigation is difficult to predict any future litigation regardless of the outcome could result in substantial expense to the company and significant diversion of the efforts of the company s technical and management personnel litigation may also be necessary to enforce patents issued to the company and license agreements entered into by the company to protect trade secrets or know how owned by the company or to determine the enforcement scope and validity of the proprietary rights of others an adverse determination in any such proceeding could subject the company to significant liabilities to third parties or require the company to seek licenses from third parties or pay royalties that may be substantial furthermore there can be no assurance that necessary licenses would be available to the company on satisfactory terms if at all accordingly an adverse determination in a judicial or administrative proceeding or failure to obtain necessary licenses could prevent the company from manufacturing or selling certain of its products which in turn would have a material adverse effect on the company s business financial condition and results of operations risks associated with human tissue products both the united states and europe have recently focused attention on the safety of tissue banks spurred by incidents of the transmission of human disease during tissue transplantation in the united states regulations drafted by the fda have outlined requirements for tissue banks although the current regulations have specifically excluded from regulation medical devices subject to fda review including preserved umbilical cord vein grafts such as biograft proposed rules indicate that medical devices containing human tissue products may be subject to additional controls as a result biograft may be subject to additional regulations in the united states and the related expensive donor screening and donor testing procedures however it is uncertain when the fda impose these additional regulatory requirements on biograft or that biograft would be able to meet any such new requirements the long term future regulatory environment for biograft in europe is uncertain the mdd issued by the eu explicitly excludes medical devices from human tissue however there is an effort developing to include such devices under a comprehensive regulatory program this effort is in the early stages the company understands that a consensus on such a directive could take several years in addition if extensive donor screening and donor testing requirements are imposed such requirements could make it uneconomical to sell biograft in europe even under a regulatory program biograft accounted for and of the company s net revenue for the years ended october and respectively risks associated with bovine tissue products bovine spongiform encephalopathy bse has been endemic in cattle in the united kingdom and has received much publicity in europe regarding beef for dietary consumption under the direction of the usda the u s government has had an active program of surveillance and import controls since the late s designed to prevent the introduction of bse into u s cattle to date all evidence indicates that u s cattle are free of bse the company obtains all of its raw pericardium for its tissue guard products from usda inspected slaughterhouses the company cannot predict whether or not a case of bse may someday be reported in the united states if a case of bse were reported in u s cattle it could have a material adverse effect on the company s business financial condition and results of operations the company s notified body under the mdd the bsi and french authorities have specifically reviewed tissue guard sourcing and manufacturing processes and have then certified the company s bovine pericardium products although the company does not anticipate that countries will prohibit the sale of tissue guard products as a result of concerns related to bse such prohibition by certain countries could have a material adverse effect on the company s business financial condition and results of operation governmental regulation the medical device industry in which the company s branded products segment and the customers of the company s component product segment operate is subject to extensive and rigorous regulation by the fda and by comparable agencies in foreign countries in the united states the fda regulates the introduction manufacturing labeling and record keeping procedures for medical devices including the company s branded products and medical devices incorporating the company s component products the process of obtaining marketing clearance from the fda for new products and new applications for existing products can be time consuming and expensive and there is no assurance that such clearances will be granted or that fda review will not involve delays that would adversely affect the company s ability to commercialize additional products or additional applications for existing products in addition certain of the company s branded products and devices incorporating component products that are in the research and development stage may be subject to a lengthy and expensive pma process with the fda even if regulatory approvals to market a product are obtained from the fda these approvals may entail limitations on the indicated uses of the product product approvals by the fda can also be withdrawn due to failure to comply with regulatory standards or the occurrence of unforeseen problems following initial approval the fda could also limit or prevent the manufacture or distribution of the company s branded products or medical devices incorporating the company s component products and has the power to require the recall of such products if indicated if enacted proposed regulations currently under consideration by the fda could also adversely impact the use and marketing of certain of the company s branded products fda regulations depend heavily on administrative interpretation and there can be no assurance that future interpretations made by the fda or other regulatory bodies with possible retroactive effect will not adversely affect the company the fda and various state and foreign regulatory agencies inspect the company and its manufacturing facilities for branded products from time to time to determine whether the company is in compliance with regulations relating to manufacturing practices validation testing quality control and product labeling a determination that the company is in violation of such regulations could lead to imposition of civil penalties including fines product recalls or product seizures and in extreme cases criminal sanctions depending on the nature of the violation international regulatory bodies have established varying regulations governing product standards packaging and labeling requirements import restrictions tariff regulations duties and tax requirements in japan a potentially significant market for the company s branded products clinical trials of certain of the company s branded products are required before such products can be cleared for sale in the japanese market the company relies on independent distributors to comply with such foreign regulatory requirements as a result communication between foreign regulatory agencies and the company is indirect as it occurs through the foreign distributor the inability or failure of independent distributors to comply with the varying regulations or the imposition of new regulations could restrict such distributors ability to sell the company s branded products internationally and thereby adversely affect the company s business financial condition and results of operations the registration process in the eu for the company s branded products requires that the company s quality system conform with the iso international quality standard and that its branded products conform with essential requirements set forth by the mdd compliance with these requirements will allow the company to issue a declaration of conformity and apply the ce mark to branded products allowing free sale in the eu while the company has obtained the ce mark for all of its current branded products except for biograft which is exempt there can be no assurance that the company will be able to maintain compliance with the regulations to retain the ce mark in addition there can be no assurance that the company will be successful in obtaining the ce mark for new product introductions devices incorporating the company s component products are also subject to these requirements and there can be no assurance that the company s component business customers will be successful in obtaining or maintaining compliance with the eu regulatory process for their current or future products exposure to product liability claims risk of product recall the medical product industry historically has been litigious and the manufacture and sale of the company s products inherently entails a risk of product liability claims in particular the company s principal branded and a significant portion of its component products are designed to be permanently placed in the human body and production or other errors could result in an unsafe product and injury to the patient the company maintains product liability insurance coverage on a claims made basis with an annual aggregate limit of million subject to an annual aggregate self insured retention of although the company believes these amounts to be adequate based upon the nature and risks of its business in general and its actual experience to date there can be no assurance that one or more liability claims will not exceed the coverage limits of such policies or that such insurance will continue to be available on commercially reasonable terms if at all furthermore the company does not expect to be able to obtain insurance covering its costs and losses as the result of any recall of its products due to alleged defects whether such a recall is instituted by the company or required by a regulatory agency a product liability claim recall or other claim with respect to uninsured liabilities or in excess of insured liabilities could have a material adverse effect on the business financial condition and results of operations of the company dependence on domestic and international distributors and sales representatives sales to both domestic and international distributors and sales representatives constitute a significant portion of the company s current business related to its branded products for the years ended october and three domestic distributors accounted for an aggregate of and respectively of net revenue with each of such distributors accounting for in excess of of the company s net revenue for those periods the company also relies on sales representative organizations for certain of its domestic branded product business and relies on a number of distributors for all of its international branded product business there can be no assurance that the company will be able to maintain its relationships with any of its distributors or sales representatives or in the event of termination of any of such relationships that a new replacement distributor or sales representative will be found the loss of a significant distributor or a significant number of other distributors or sales representatives could materially adversely affect the company s business financial condition and results of operations if another suitable sales organization could not be found on a timely basis to serve the relevant geographic market year compliance the company and third parties with which the company does business are significantly dependent upon information systems and other systems which may be susceptible to the so called year problem the company has initiated comprehensive internal year identification and remediation efforts although there can be no assurance that the company will be able to fully identify and address all of its internal year issues as a result of these efforts as a part of its year initiatives the company intends to request information from its business partners as to their year compliance in order to assess and mitigate the company s risks there can be no assurance however that year issues encountered by such parties will not have a material adverse effect on the company s business financial condition and results of operations euro conversion on january eleven of the fifteen member countries of the eu are scheduled to establish fixed conversion rates between their existing sovereign currencies and the euro and to adopt the euro as their common legal currency on that date the company currently denominates all of its foreign transactions in u s dollars and therefore is not presently faced with the task of converting its information systems and practices to accommodate euro conversion euro conversion is however expected to generally increase cross border price transparency among the participating countries and result in a more competitive european market the company is uncertain as to the effect if any that euro conversion will have on its ability to sell its products in the european market euro conversion could potentially impact pricing strategies and demand for the company s products in the european market lead to increased competition within the european market for the specific types of products manufactured and sold by the company or impact the company s international distributor relationships the company could also potentially be required to denominate future transactions in the euro and incur currency risk and conversion start up costs as a result there can be no assurance that euro conversion will not have a material adverse effect on the company s business financial condition and results of operation dependence on significant customer sales to one customer of the company s component products business accounted for approximately of the business segment s revenue for the twelve month period ended october there can be no assurance that the company will be able to maintain its relationship with this significant customer or in the event of termination of the relationship that the company will be able to replace production levels with new or existing customers the loss of the significant customer could materially adversely affect the company s business financial condition and results of operations
PSS INC,1999-01-29,,
QUIKSILVER INC,1999-01-29,,
MICROAGE INC /DE/,1999-01-29,,
ASHWORTH INC,1999-01-29,,
MARKET DATA CORP,1999-01-29,,
ESSEX INTERNATIONAL INC /,1998-03-09,,
SEA PINES ASSOCIATES INC,1999-01-29,,
SBE INC,1999-01-29,,
NUMEREX CORP /PA/,1999-01-29,,
STARTECH ENVIRONMENTAL CORP,1999-01-29,,
SCIOTO DOWNS INC,1999-01-29,,
CREDENCE SYSTEMS CORP,1999-01-29,,
TRO LEARNING INC,1999-01-29,,
SHILOH INDUSTRIES INC,1999-01-29,,
AGRI NUTRITION GROUP LTD,1999-01-29,,
UST PRIVATE EQUITY INVESTORS FUND INC,1999-01-29,,
NETSCAPE COMMUNICATIONS CORP,1999-01-29,,
GULF STATES STEEL INC /AL/,1999-01-29,,
TAKE TWO INTERACTIVE SOFTWARE INC,1999-01-29,,
CONCENTRIC NETWORK CORP,1999-02-01,,
SALOMON BROTHERS MORT SEC VII INC TRUST CERT SERIES 1996-4,1999-02-01,,
LAM SW INC,1999-02-01,,
RECEIPTS ON CORPORATE SECURITIES TRUST SERIES FDX 1997 1,1999-02-01,,
ARTRA GROUP INC,1999-02-01,,
MEGADATA CORP,1999-02-01,,
STRUCTURED ASSET SECURITIES CORP,1999-02-01,,
INTERNATIONAL YOGURT CO,1999-02-01,,
AQUA ALLIANCE INC,1999-02-01,,
TREDEGAR INDUSTRIES INC,1999-02-01,,
NORTH AMERICAN VACCINE INC,1999-02-01,,
MAXXIM MEDICAL INC,1999-02-01,,
ENERGY RESEARCH CORP /NY/,1999-02-01,,
CANMAX INC /WY/,1999-02-01,,
I2 TECHNOLOGIES INC,1999-02-03,,
SUPERIOR BANK FSB AFC MORTGAGE LN ASSET BK CERT SER 1998-2,1999-02-03,,
SUPERIOR BANK FSB AFC MORTGAGE LN ASSET BK CERT SER 1998-3,1999-02-03,,
MEGADATA CORP,1999-01-29,,
GIBRALTAR STEEL CORP,1999-02-04,,
UDS CAPITAL I,1999-02-05,,
STANLEY FURNITURE CO INC/,1999-02-05,,
CHIC BY H I S INC,1999-02-05,,
MORRISON KNUDSEN CORP//,1999-02-05,,
EXCITE INC,1999-02-09,,
UPTOWNER INNS INC,1999-02-09,,
IMPERIAL PETROLEUM INC,1999-02-09,,
LEGATO SYSTEMS INC,1999-02-10,,
WALKER B B CO,1999-02-11,,
U S WEST INC /DE/,1999-02-11,,
PROVIDENT BANCORP INC/NY/,1999-02-11,,
U S WEST COMMUNICATIONS INC,1999-02-11,,
BIO REFERENCE LABORATORIES INC,1999-02-11,,
AMERICAN FILM TECHNOLOGIES INC /DE/,1999-02-11,,
GREENSTONE ROBERTS ADVERTISING INC,1999-02-11,,
ARTESIAN RESOURCES CORP,1999-02-11,,
TELEBANC FINANCIAL CORP,1999-02-11,,
U S HOME CORP /DE/,1999-02-12,,
KNUSAGA CORP,1999-02-12,,
PLASMA THERM INC,1999-02-12,,
MINNESOTA MINING & MANUFACTURING CO,1999-02-12,,
AMERICAN NATIONAL BANKSHARES INC,1998-03-27,,
SYNTHETIC INDUSTRIES INC,1999-02-12,,
COLUMBUS ENERGY CORP,1999-02-12,,
SYNTHETIC INDUSTRIES LP,1999-02-12,,
UNITED TECHNOLOGIES CORP /DE/,1999-02-16,,
ASPEC TECHNOLOGY INC,1999-02-16,,
DUNN COMPUTER CORP /VA/,1999-02-16,,
PINNACLE HOLDINGS INC,1999-02-16,,
DUN & BRADSTREET CORP /DE/,1999-02-16,,
SEAGULL ENERGY CORP,1999-02-16,,
